mcg	gvh	lip	chg	aac	alm1	alm2	class	class_k_6	class_k_7	class_k_8	class_k_9	class_k_10
0.29	0.41	0.48	0.5	0.48	0.38	0.46	cp	5	5	6	7	1
0.34	0.28	0.48	0.5	0.41	0.35	0.44	cp	5	2	5	7	1
0.41	0.43	0.48	0.5	0.45	0.31	0.41	cp	1	2	2	9	2
0.29	0.47	0.48	0.5	0.41	0.23	0.34	cp	1	2	5	3	7
0.34	0.55	0.48	0.5	0.58	0.31	0.41	cp	1	2	6	7	1
0.36	0.56	0.48	0.5	0.43	0.45	0.53	cp	5	5	6	7	1
0.4	0.46	0.48	0.5	0.52	0.49	0.56	cp	5	5	6	7	1
0.5	0.49	0.48	0.5	0.49	0.46	0.53	cp	5	5	2	7	1
0.52	0.44	0.48	0.5	0.37	0.36	0.42	cp	5	2	2	9	2
0.5	0.51	0.48	0.5	0.27	0.23	0.34	cp	1	2	2	9	2
0.53	0.42	0.48	0.5	0.16	0.29	0.39	cp	5	2	2	9	2
0.34	0.46	0.48	0.5	0.52	0.35	0.44	cp	5	5	6	7	1
0.4	0.42	0.48	0.5	0.37	0.27	0.27	cp	1	2	5	3	7
0.41	0.43	0.48	0.5	0.5	0.24	0.25	cp	1	2	5	3	7
0.3	0.45	0.48	0.5	0.36	0.21	0.32	cp	1	2	5	3	7
0.31	0.47	0.48	0.5	0.29	0.28	0.39	cp	1	2	2	7	1
0.64	0.76	0.48	0.5	0.45	0.35	0.38	cp	3	4	4	1	3
0.35	0.37	0.48	0.5	0.3	0.34	0.43	cp	5	2	2	7	1
0.57	0.54	0.48	0.5	0.37	0.28	0.33	cp	1	4	2	9	2
0.65	0.55	0.48	0.5	0.34	0.37	0.28	cp	3	4	4	9	2
0.51	0.46	0.48	0.5	0.58	0.31	0.41	cp	1	2	2	9	2
0.38	0.4	0.48	0.5	0.63	0.25	0.35	cp	1	2	5	3	7
0.24	0.57	0.48	0.5	0.63	0.34	0.43	cp	1	5	6	7	1
0.38	0.26	0.48	0.5	0.54	0.16	0.28	cp	1	2	5	3	7
0.33	0.47	0.48	0.5	0.53	0.18	0.29	cp	1	2	5	3	7
0.24	0.34	0.48	0.5	0.38	0.3	0.4	cp	1	2	5	3	7
0.26	0.5	0.48	0.5	0.44	0.32	0.41	cp	1	2	6	7	1
0.44	0.49	0.48	0.5	0.39	0.38	0.4	cp	5	2	2	9	2
0.43	0.32	0.48	0.5	0.33	0.45	0.52	cp	5	5	2	7	1
0.49	0.43	0.48	0.5	0.49	0.3	0.4	cp	1	2	2	9	2
0.47	0.28	0.48	0.5	0.56	0.2	0.25	cp	1	2	5	3	7
0.32	0.33	0.48	0.5	0.6	0.06	0.2	cp	1	2	5	3	7
0.34	0.35	0.48	0.5	0.51	0.49	0.56	cp	5	5	6	7	1
0.35	0.34	0.48	0.5	0.46	0.3	0.27	cp	1	2	5	3	7
0.38	0.3	0.48	0.5	0.43	0.29	0.39	cp	1	2	5	3	7
0.38	0.44	0.48	0.5	0.43	0.2	0.31	cp	1	2	5	3	7
0.41	0.51	0.48	0.5	0.58	0.2	0.31	cp	1	2	5	3	7
0.34	0.42	0.48	0.5	0.41	0.34	0.43	cp	5	2	2	7	1
0.51	0.49	0.48	0.5	0.53	0.14	0.26	cp	1	2	5	3	7
0.25	0.51	0.48	0.5	0.37	0.42	0.5	cp	5	5	6	7	1
0.29	0.28	0.48	0.5	0.5	0.42	0.5	cp	5	5	6	7	1
0.25	0.26	0.48	0.5	0.39	0.32	0.42	cp	1	2	5	3	7
0.24	0.41	0.48	0.5	0.49	0.23	0.34	cp	1	2	5	3	7
0.17	0.39	0.48	0.5	0.53	0.3	0.39	cp	1	2	5	3	7
0.04	0.31	0.48	0.5	0.41	0.29	0.39	cp	1	2	5	3	7
0.61	0.36	0.48	0.5	0.49	0.35	0.44	cp	5	2	2	9	2
0.34	0.51	0.48	0.5	0.44	0.37	0.46	cp	5	5	6	7	1
0.28	0.33	0.48	0.5	0.45	0.22	0.33	cp	1	2	5	3	7
0.4	0.46	0.48	0.5	0.42	0.35	0.44	cp	5	2	2	7	1
0.23	0.34	0.48	0.5	0.43	0.26	0.37	cp	1	2	5	3	7
0.37	0.44	0.48	0.5	0.42	0.39	0.47	cp	5	5	2	7	1
0.0	0.38	0.48	0.5	0.42	0.48	0.55	cp	5	5	6	7	1
0.39	0.31	0.48	0.5	0.38	0.34	0.43	cp	5	2	2	7	1
0.3	0.44	0.48	0.5	0.49	0.22	0.33	cp	1	2	5	3	7
0.27	0.3	0.48	0.5	0.71	0.28	0.39	cp	1	2	5	3	7
0.17	0.52	0.48	0.5	0.49	0.37	0.46	cp	5	5	6	7	1
0.36	0.42	0.48	0.5	0.53	0.32	0.41	cp	1	2	5	7	1
0.3	0.37	0.48	0.5	0.43	0.18	0.3	cp	1	2	5	3	7
0.26	0.4	0.48	0.5	0.36	0.26	0.37	cp	1	2	5	3	7
0.4	0.41	0.48	0.5	0.55	0.22	0.33	cp	1	2	5	3	7
0.22	0.34	0.48	0.5	0.42	0.29	0.39	cp	1	2	5	3	7
0.44	0.35	0.48	0.5	0.44	0.52	0.59	cp	5	5	6	7	1
0.27	0.42	0.48	0.5	0.37	0.38	0.43	cp	5	5	6	7	1
0.16	0.43	0.48	0.5	0.54	0.27	0.37	cp	1	2	5	3	7
0.06	0.61	0.48	0.5	0.49	0.92	0.37	im	4	5	6	4	8
0.44	0.52	0.48	0.5	0.43	0.47	0.54	im	5	5	6	7	1
0.63	0.47	0.48	0.5	0.51	0.82	0.84	im	2	1	1	2	4
0.23	0.48	0.48	0.5	0.59	0.88	0.89	im	4	6	3	6	5
0.34	0.49	0.48	0.5	0.58	0.85	0.8	im	4	6	3	6	5
0.43	0.4	0.48	0.5	0.58	0.75	0.78	im	4	6	3	6	5
0.46	0.61	0.48	0.5	0.48	0.86	0.87	im	4	6	3	6	5
0.27	0.35	0.48	0.5	0.51	0.77	0.79	im	4	6	3	6	5
0.52	0.39	0.48	0.5	0.65	0.71	0.73	im	4	6	3	6	5
0.29	0.47	0.48	0.5	0.71	0.65	0.69	im	4	6	3	6	5
0.55	0.47	0.48	0.5	0.57	0.78	0.8	im	2	6	3	6	5
0.12	0.67	0.48	0.5	0.74	0.58	0.63	im	4	5	6	6	5
0.4	0.5	0.48	0.5	0.65	0.82	0.84	im	4	6	3	6	5
0.73	0.36	0.48	0.5	0.53	0.91	0.92	im	2	1	1	2	4
0.84	0.44	0.48	0.5	0.48	0.71	0.74	im	2	1	1	2	4
0.48	0.45	0.48	0.5	0.6	0.78	0.8	im	4	6	3	6	5
0.54	0.49	0.48	0.5	0.4	0.87	0.88	im	4	6	3	6	5
0.48	0.41	0.48	0.5	0.51	0.9	0.88	im	4	6	3	6	5
0.5	0.66	0.48	0.5	0.31	0.92	0.92	im	4	6	3	6	5
0.72	0.46	0.48	0.5	0.51	0.66	0.7	im	2	1	1	2	4
0.47	0.55	0.48	0.5	0.58	0.71	0.75	im	4	6	3	6	5
0.33	0.56	0.48	0.5	0.33	0.78	0.8	im	4	6	3	6	5
0.64	0.58	0.48	0.5	0.48	0.78	0.73	im	2	1	1	2	4
0.54	0.57	0.48	0.5	0.56	0.81	0.83	im	4	6	3	6	5
0.47	0.59	0.48	0.5	0.52	0.76	0.79	im	4	6	3	6	5
0.63	0.5	0.48	0.5	0.59	0.85	0.86	im	2	1	1	2	4
0.49	0.42	0.48	0.5	0.53	0.79	0.81	im	4	6	3	6	5
0.31	0.5	0.48	0.5	0.57	0.84	0.85	im	4	6	3	6	5
0.74	0.44	0.48	0.5	0.55	0.88	0.89	im	2	1	1	2	4
0.33	0.45	0.48	0.5	0.45	0.88	0.89	im	4	6	3	6	5
0.45	0.4	0.48	0.5	0.61	0.74	0.77	im	4	6	3	6	5
0.71	0.4	0.48	0.5	0.71	0.7	0.74	im	2	1	1	2	4
0.5	0.37	0.48	0.5	0.66	0.64	0.69	im	4	6	3	6	5
0.66	0.53	0.48	0.5	0.59	0.66	0.66	im	2	1	1	2	4
0.6	0.61	0.48	0.5	0.54	0.67	0.71	im	2	1	1	2	4
0.83	0.37	0.48	0.5	0.61	0.71	0.74	im	2	1	1	2	4
0.34	0.51	0.48	0.5	0.67	0.9	0.9	im	4	6	3	6	5
0.63	0.54	0.48	0.5	0.65	0.79	0.81	im	2	1	1	2	4
0.7	0.4	0.48	0.5	0.56	0.86	0.83	im	2	1	1	2	4
0.6	0.5	1.0	0.5	0.54	0.77	0.8	im	6	3	7	5	10
0.16	0.51	0.48	0.5	0.33	0.39	0.48	im	5	5	6	7	1
0.74	0.7	0.48	0.5	0.66	0.65	0.69	im	2	1	1	2	4
0.2	0.46	0.48	0.5	0.57	0.78	0.81	im	4	6	3	6	5
0.89	0.55	0.48	0.5	0.51	0.72	0.76	im	2	1	1	2	4
0.7	0.46	0.48	0.5	0.56	0.78	0.73	im	2	1	1	2	4
0.12	0.43	0.48	0.5	0.63	0.7	0.74	im	4	6	3	6	5
0.61	0.52	0.48	0.5	0.54	0.67	0.52	im	2	1	1	2	4
0.33	0.37	0.48	0.5	0.46	0.65	0.69	im	4	6	3	6	5
0.63	0.65	0.48	0.5	0.66	0.67	0.71	im	2	1	1	2	4
0.41	0.51	0.48	0.5	0.53	0.75	0.78	im	4	6	3	6	5
0.34	0.67	0.48	0.5	0.52	0.76	0.79	im	4	6	3	6	5
0.58	0.34	0.48	0.5	0.56	0.87	0.81	im	2	1	1	2	4
0.59	0.56	0.48	0.5	0.55	0.8	0.82	im	2	1	1	2	4
0.51	0.4	0.48	0.5	0.57	0.62	0.67	im	4	6	3	6	5
0.5	0.57	0.48	0.5	0.71	0.61	0.66	im	4	6	3	6	5
0.6	0.46	0.48	0.5	0.45	0.81	0.83	im	2	1	1	2	4
0.37	0.47	0.48	0.5	0.39	0.76	0.79	im	4	6	3	6	5
0.58	0.55	0.48	0.5	0.57	0.7	0.74	im	2	1	1	2	4
0.36	0.47	0.48	0.5	0.51	0.69	0.72	im	4	6	3	6	5
0.39	0.41	0.48	0.5	0.52	0.72	0.75	im	4	6	3	6	5
0.35	0.51	0.48	0.5	0.61	0.71	0.74	im	4	6	3	6	5
0.31	0.44	0.48	0.5	0.5	0.79	0.82	im	4	6	3	6	5
0.61	0.66	0.48	0.5	0.46	0.87	0.88	im	2	1	1	2	4
0.48	0.49	0.48	0.5	0.52	0.77	0.71	im	4	6	3	6	5
0.11	0.5	0.48	0.5	0.58	0.72	0.68	im	4	6	3	6	5
0.31	0.36	0.48	0.5	0.58	0.94	0.94	im	4	6	3	6	5
0.68	0.51	0.48	0.5	0.71	0.75	0.78	im	2	1	1	2	4
0.69	0.39	0.48	0.5	0.57	0.76	0.79	im	2	1	1	2	4
0.52	0.54	0.48	0.5	0.62	0.76	0.79	im	4	6	3	6	5
0.46	0.59	0.48	0.5	0.36	0.76	0.23	im	3	4	4	4	8
0.36	0.45	0.48	0.5	0.38	0.79	0.17	im	5	5	6	4	8
0.0	0.51	0.48	0.5	0.35	0.67	0.44	im	5	5	6	4	8
0.1	0.49	0.48	0.5	0.41	0.67	0.21	im	5	5	6	4	8
0.3	0.51	0.48	0.5	0.42	0.61	0.34	im	5	5	6	4	8
0.61	0.47	0.48	0.5	0.0	0.8	0.32	im	5	4	4	4	8
0.63	0.75	0.48	0.5	0.64	0.73	0.66	im	2	1	1	2	4
0.71	0.52	0.48	0.5	0.64	1.0	0.99	im	2	1	1	2	4
0.85	0.53	0.48	0.5	0.53	0.52	0.35	imS	3	4	4	1	3
0.63	0.49	0.48	0.5	0.54	0.76	0.79	imS	2	1	1	2	4
0.75	0.55	1.0	1.0	0.4	0.47	0.3	imL	6	3	7	5	6
0.7	0.39	1.0	0.5	0.51	0.82	0.84	imL	6	3	7	5	10
0.72	0.42	0.48	0.5	0.65	0.77	0.79	imU	2	1	1	2	4
0.79	0.41	0.48	0.5	0.66	0.81	0.83	imU	2	1	1	2	4
0.83	0.48	0.48	0.5	0.65	0.76	0.79	imU	2	1	1	2	4
0.69	0.43	0.48	0.5	0.59	0.74	0.77	imU	2	1	1	2	4
0.79	0.36	0.48	0.5	0.46	0.82	0.7	imU	2	1	1	2	4
0.78	0.33	0.48	0.5	0.57	0.77	0.79	imU	2	1	1	2	4
0.75	0.37	0.48	0.5	0.64	0.7	0.74	imU	2	1	1	2	4
0.59	0.29	0.48	0.5	0.64	0.75	0.77	imU	2	1	1	2	4
0.67	0.37	0.48	0.5	0.54	0.64	0.68	imU	2	1	1	2	4
0.66	0.48	0.48	0.5	0.54	0.7	0.74	imU	2	1	1	2	4
0.64	0.46	0.48	0.5	0.48	0.73	0.76	imU	2	1	1	2	4
0.76	0.71	0.48	0.5	0.5	0.71	0.75	imU	2	1	1	2	4
0.84	0.49	0.48	0.5	0.55	0.78	0.74	imU	2	1	1	2	4
0.77	0.55	0.48	0.5	0.51	0.78	0.74	imU	2	1	1	2	4
0.81	0.44	0.48	0.5	0.42	0.67	0.68	imU	2	1	1	2	4
0.58	0.6	0.48	0.5	0.59	0.73	0.76	imU	2	1	1	2	4
0.63	0.42	0.48	0.5	0.48	0.77	0.8	imU	2	1	1	2	4
0.62	0.42	0.48	0.5	0.58	0.79	0.81	imU	2	1	1	2	4
0.86	0.39	0.48	0.5	0.59	0.89	0.9	imU	2	1	1	2	4
0.81	0.53	0.48	0.5	0.57	0.87	0.88	imU	2	1	1	2	4
0.87	0.49	0.48	0.5	0.61	0.76	0.79	imU	2	1	1	2	4
0.47	0.46	0.48	0.5	0.62	0.74	0.77	imU	4	6	3	6	5
0.76	0.41	0.48	0.5	0.5	0.59	0.62	imU	2	1	1	2	4
0.7	0.53	0.48	0.5	0.7	0.86	0.87	imU	2	1	1	2	4
0.64	0.45	0.48	0.5	0.67	0.61	0.66	imU	2	1	1	2	4
0.81	0.52	0.48	0.5	0.57	0.78	0.8	imU	2	1	1	2	4
0.73	0.26	0.48	0.5	0.57	0.75	0.78	imU	2	1	1	2	4
0.49	0.61	1.0	0.5	0.56	0.71	0.74	imU	6	3	7	5	10
0.88	0.42	0.48	0.5	0.52	0.73	0.75	imU	2	1	1	2	4
0.84	0.54	0.48	0.5	0.75	0.92	0.7	imU	2	1	1	2	4
0.63	0.51	0.48	0.5	0.64	0.72	0.76	imU	2	1	1	2	4
0.86	0.55	0.48	0.5	0.63	0.81	0.83	imU	2	1	1	2	4
0.79	0.54	0.48	0.5	0.5	0.66	0.68	imU	2	1	1	2	4
0.57	0.38	0.48	0.5	0.06	0.49	0.33	imU	5	4	2	9	2
0.78	0.44	0.48	0.5	0.45	0.73	0.68	imU	2	1	1	2	4
0.78	0.68	0.48	0.5	0.83	0.4	0.29	om	3	7	8	8	9
0.63	0.69	0.48	0.5	0.65	0.41	0.28	om	3	7	8	8	9
0.67	0.88	0.48	0.5	0.73	0.5	0.25	om	3	7	8	8	9
0.61	0.75	0.48	0.5	0.51	0.33	0.33	om	3	4	4	1	3
0.67	0.84	0.48	0.5	0.74	0.54	0.37	om	3	7	8	8	9
0.74	0.9	0.48	0.5	0.57	0.53	0.29	om	3	7	4	1	3
0.73	0.84	0.48	0.5	0.86	0.58	0.29	om	3	7	8	8	9
0.75	0.76	0.48	0.5	0.83	0.57	0.3	om	3	7	8	8	9
0.77	0.57	0.48	0.5	0.88	0.53	0.2	om	3	7	8	8	9
0.74	0.78	0.48	0.5	0.75	0.54	0.15	om	3	7	8	8	9
0.68	0.76	0.48	0.5	0.84	0.45	0.27	om	3	7	8	8	9
0.56	0.68	0.48	0.5	0.77	0.36	0.45	om	3	7	8	8	9
0.65	0.51	0.48	0.5	0.66	0.54	0.33	om	3	7	8	8	9
0.52	0.81	0.48	0.5	0.72	0.38	0.38	om	3	7	8	8	9
0.64	0.57	0.48	0.5	0.7	0.33	0.26	om	3	7	8	8	9
0.6	0.76	1.0	0.5	0.77	0.59	0.52	om	6	3	7	5	10
0.69	0.59	0.48	0.5	0.77	0.39	0.21	om	3	7	8	8	9
0.63	0.49	0.48	0.5	0.79	0.45	0.28	om	3	7	8	8	9
0.71	0.71	0.48	0.5	0.68	0.43	0.36	om	3	7	8	8	9
0.68	0.63	0.48	0.5	0.73	0.4	0.3	om	3	7	8	8	9
0.77	0.57	1.0	0.5	0.37	0.54	0.01	omL	6	3	7	5	6
0.66	0.49	1.0	0.5	0.54	0.56	0.36	omL	6	3	7	5	6
0.71	0.46	1.0	0.5	0.52	0.59	0.3	omL	6	3	7	5	6
0.67	0.55	1.0	0.5	0.66	0.58	0.16	omL	6	3	7	5	6
0.68	0.49	1.0	0.5	0.62	0.55	0.28	omL	6	3	7	5	6
0.74	0.49	0.48	0.5	0.42	0.54	0.36	pp	3	4	4	1	3
0.7	0.61	0.48	0.5	0.56	0.52	0.43	pp	3	4	4	1	3
0.66	0.86	0.48	0.5	0.34	0.41	0.36	pp	3	4	4	1	3
0.73	0.78	0.48	0.5	0.58	0.51	0.31	pp	3	7	4	1	3
0.65	0.57	0.48	0.5	0.47	0.47	0.51	pp	3	4	4	1	3
0.72	0.86	0.48	0.5	0.17	0.55	0.21	pp	3	4	4	1	3
0.67	0.7	0.48	0.5	0.46	0.45	0.33	pp	3	4	4	1	3
0.67	0.81	0.48	0.5	0.54	0.49	0.23	pp	3	7	4	1	3
0.67	0.61	0.48	0.5	0.51	0.37	0.38	pp	3	4	4	1	3
0.63	1.0	0.48	0.5	0.35	0.51	0.49	pp	3	4	4	1	3
0.57	0.59	0.48	0.5	0.39	0.47	0.33	pp	3	4	4	1	3
0.71	0.71	0.48	0.5	0.4	0.54	0.39	pp	3	4	4	1	3
0.66	0.74	0.48	0.5	0.31	0.38	0.43	pp	3	4	4	1	3
0.67	0.81	0.48	0.5	0.25	0.42	0.25	pp	3	4	4	1	3
0.64	0.72	0.48	0.5	0.49	0.42	0.19	pp	3	4	4	1	3
0.68	0.82	0.48	0.5	0.38	0.65	0.56	pp	3	4	4	1	3
0.32	0.39	0.48	0.5	0.53	0.28	0.38	pp	1	2	5	3	7
0.7	0.64	0.48	0.5	0.47	0.51	0.47	pp	3	4	4	1	3
0.63	0.57	0.48	0.5	0.49	0.7	0.2	pp	3	4	4	1	3
0.74	0.82	0.48	0.5	0.49	0.49	0.41	pp	3	4	4	1	3
0.63	0.86	0.48	0.5	0.39	0.47	0.34	pp	3	4	4	1	3
0.63	0.83	0.48	0.5	0.4	0.39	0.19	pp	3	4	4	1	3
0.63	0.71	0.48	0.5	0.6	0.4	0.39	pp	3	7	8	1	3
0.71	0.86	0.48	0.5	0.4	0.54	0.32	pp	3	4	4	1	3
0.68	0.78	0.48	0.5	0.43	0.44	0.42	pp	3	4	4	1	3
0.64	0.84	0.48	0.5	0.37	0.45	0.4	pp	3	4	4	1	3
0.74	0.47	0.48	0.5	0.5	0.57	0.42	pp	3	4	4	1	3
0.75	0.84	0.48	0.5	0.35	0.52	0.33	pp	3	4	4	1	3
0.63	0.65	0.48	0.5	0.39	0.44	0.35	pp	3	4	4	1	3
0.69	0.67	0.48	0.5	0.3	0.39	0.24	pp	3	4	4	1	3
0.7	0.71	0.48	0.5	0.42	0.84	0.85	pp	2	1	1	2	4
0.69	0.8	0.48	0.5	0.46	0.57	0.26	pp	3	4	4	1	3
0.64	0.66	0.48	0.5	0.41	0.39	0.2	pp	3	4	4	1	3
0.63	0.8	0.48	0.5	0.46	0.31	0.29	pp	3	4	4	1	3
0.66	0.71	0.48	0.5	0.41	0.5	0.35	pp	3	4	4	1	3
0.69	0.59	0.48	0.5	0.46	0.44	0.52	pp	3	4	4	1	3
0.68	0.67	0.48	0.5	0.49	0.4	0.34	pp	3	4	4	1	3
0.64	0.78	0.48	0.5	0.5	0.36	0.38	pp	3	4	4	1	3
0.62	0.78	0.48	0.5	0.47	0.49	0.54	pp	3	4	4	1	3
0.76	0.73	0.48	0.5	0.44	0.39	0.39	pp	3	4	4	1	3
0.64	0.81	0.48	0.5	0.37	0.39	0.44	pp	3	4	4	1	3
0.29	0.39	0.48	0.5	0.52	0.4	0.48	pp	5	5	6	7	1
0.62	0.83	0.48	0.5	0.46	0.36	0.4	pp	3	4	4	1	3
0.56	0.54	0.48	0.5	0.43	0.37	0.3	pp	3	4	2	9	2
0.69	0.66	0.48	0.5	0.41	0.5	0.25	pp	3	4	4	1	3
0.69	0.65	0.48	0.5	0.63	0.48	0.41	pp	3	7	8	8	9
0.43	0.59	0.48	0.5	0.52	0.49	0.56	pp	5	5	6	7	1
0.74	0.56	0.48	0.5	0.47	0.68	0.3	pp	3	4	4	1	3
0.71	0.57	0.48	0.5	0.48	0.35	0.32	pp	3	4	4	1	3
0.61	0.6	0.48	0.5	0.44	0.39	0.38	pp	3	4	4	1	3
0.59	0.61	0.48	0.5	0.42	0.42	0.37	pp	3	4	4	1	3
0.74	0.74	0.48	0.5	0.31	0.53	0.52	pp	3	4	4	1	3
