"x" "y" "class"
0.272 0.822 NA
0.295 0.817 NA
0.295 0.828 NA
0.3 0.835 NA
0.304 0.861 NA
0.303 0.821 NA
0.274 0.834 NA
0.303 0.834 NA
0.298 0.816 NA
0.31 0.835 NA
0.286 0.835 NA
0.282 0.848 NA
0.31 0.841 NA
0.27 0.859 NA
0.283 0.825 NA
0.269 0.846 NA
0.306 0.849 NA
0.298 0.823 NA
0.275 0.826 NA
0.285 0.842 NA
0.323 0.812 NA
0.291 0.859 NA
0.301 0.823 NA
0.289 0.878 NA
0.278 0.801 NA
0.298 0.818 NA
0.294 0.86 NA
0.287 0.84 NA
0.31 0.869 NA
0.284 0.854 NA
0.298 0.857 NA
0.288 0.838 NA
0.271 0.801 NA
0.309 0.851 NA
0.306 0.841 NA
0.303 0.891 NA
0.287 0.846 NA
0.295 0.866 NA
0.274 0.826 NA
0.296 0.812 NA
0.306 0.841 NA
0.314 0.881 NA
0.299 0.863 NA
0.308 0.825 NA
0.314 0.805 NA
0.307 0.87 NA
0.294 0.854 NA
0.31 0.848 NA
0.297 0.858 NA
0.29 0.858 NA
0.296 0.869 NA
0.288 0.86 NA
0.325 0.877 NA
0.289 0.867 NA
0.316 0.868 NA
0.317 0.842 NA
0.267 0.861 NA
0.303 0.866 NA
0.309 0.84 NA
0.306 0.877 NA
0.31 0.851 NA
0.313 0.87 NA
0.305 0.868 NA
0.303 0.843 NA
0.309 0.866 NA
0.315 0.858 NA
0.3 0.841 NA
0.31 0.871 NA
0.317 0.852 NA
0.299 0.884 NA
0.306 0.851 NA
0.316 0.874 NA
0.308 0.855 NA
0.305 0.836 NA
0.301 0.876 NA
0.329 0.848 NA
0.318 0.863 NA
0.306 0.886 NA
0.328 0.845 NA
0.292 0.83 NA
0.307 0.872 NA
0.312 0.842 NA
0.308 0.872 NA
0.307 0.838 NA
0.33 0.856 NA
0.318 0.872 NA
0.32 0.869 NA
0.327 0.895 NA
0.322 0.905 NA
0.316 0.883 NA
0.323 0.854 NA
0.326 0.893 NA
0.32 0.88 NA
0.304 0.867 NA
0.308 0.874 NA
0.346 0.883 NA
0.331 0.854 NA
0.323 0.864 NA
0.348 0.87 NA
0.334 0.851 NA
0.338 0.844 NA
0.331 0.885 NA
0.328 0.902 NA
0.337 0.862 NA
0.33 0.855 NA
0.356 0.866 NA
0.338 0.86 NA
0.353 0.875 NA
0.34 0.859 NA
0.345 0.847 NA
0.357 0.855 NA
0.339 0.836 NA
0.36 0.836 NA
0.327 0.869 NA
0.339 0.855 NA
0.346 0.871 NA
0.382 0.837 NA
0.345 0.868 NA
0.351 0.846 NA
0.33 0.847 NA
0.351 0.862 NA
0.347 0.857 NA
0.353 0.866 NA
0.342 0.87 NA
0.335 0.891 NA
0.351 0.87 NA
0.357 0.851 NA
0.335 0.848 NA
0.35 0.876 NA
0.349 0.836 NA
0.36 0.866 NA
0.36 0.889 NA
0.357 0.885 NA
0.388 0.857 NA
0.371 0.884 NA
0.336 0.859 NA
0.334 0.846 NA
0.362 0.878 NA
0.333 0.839 NA
0.33 0.849 NA
0.357 0.88 NA
0.343 0.881 NA
0.356 0.892 NA
0.339 0.877 NA
0.357 0.893 NA
0.339 0.881 NA
0.35 0.891 NA
0.36 0.86 NA
0.355 0.835 NA
0.343 0.872 NA
0.374 0.843 NA
0.353 0.85 NA
0.368 0.887 NA
0.331 0.894 NA
0.366 0.855 NA
0.332 0.869 NA
0.367 0.864 NA
0.355 0.864 NA
0.362 0.866 NA
0.377 0.879 NA
0.363 0.86 NA
0.354 0.841 NA
0.341 0.857 NA
0.376 0.858 NA
0.329 0.88 NA
0.356 0.852 NA
0.35 0.886 NA
0.338 0.864 NA
0.35 0.857 NA
0.366 0.886 NA
0.374 0.877 NA
0.365 0.847 NA
0.383 0.872 NA
0.344 0.898 NA
0.367 0.888 NA
0.37 0.885 NA
0.364 0.886 NA
0.359 0.899 NA
0.378 0.85 NA
0.353 0.842 NA
0.361 0.862 NA
0.371 0.863 NA
0.386 0.902 NA
0.385 0.886 NA
0.366 0.901 NA
0.362 0.886 NA
0.397 0.863 NA
0.381 0.872 NA
0.401 0.878 NA
0.38 0.852 NA
0.381 0.892 NA
0.389 0.86 NA
0.368 0.88 NA
0.352 0.886 NA
0.38 0.886 NA
0.381 0.878 NA
0.359 0.873 NA
0.393 0.875 NA
0.377 0.87 NA
0.37 0.861 NA
0.395 0.864 NA
0.385 0.872 NA
0.372 0.869 NA
0.382 0.902 NA
0.391 0.869 NA
0.39 0.884 NA
0.375 0.834 NA
0.379 0.856 NA
0.394 0.85 NA
0.407 0.862 NA
0.375 0.884 NA
0.394 0.88 NA
0.392 0.887 NA
0.414 0.88 NA
0.408 0.874 NA
0.376 0.854 NA
0.404 0.866 NA
0.402 0.89 NA
0.382 0.86 NA
0.378 0.876 NA
0.403 0.864 NA
0.398 0.881 NA
0.385 0.877 NA
0.401 0.881 NA
0.399 0.888 NA
0.408 0.868 NA
0.392 0.903 NA
0.401 0.865 NA
0.409 0.867 NA
0.395 0.864 NA
0.37 0.882 NA
0.392 0.873 NA
0.396 0.882 NA
0.382 0.865 NA
0.408 0.855 NA
0.395 0.894 NA
0.404 0.897 NA
0.391 0.877 NA
0.379 0.88 NA
0.389 0.855 NA
0.411 0.824 NA
0.393 0.883 NA
0.396 0.825 NA
0.409 0.864 NA
0.398 0.892 NA
0.41 0.888 NA
0.394 0.868 NA
0.392 0.843 NA
0.411 0.861 NA
0.406 0.877 NA
0.422 0.852 NA
0.408 0.893 NA
0.406 0.903 NA
0.4 0.908 NA
0.429 0.858 NA
0.406 0.864 NA
0.418 0.857 NA
0.428 0.831 NA
0.439 0.872 NA
0.414 0.872 NA
0.431 0.873 NA
0.416 0.846 NA
0.401 0.877 NA
0.401 0.872 NA
0.422 0.866 NA
0.428 0.849 NA
0.463 0.868 NA
0.435 0.895 NA
0.413 0.872 NA
0.43 0.893 NA
0.434 0.855 NA
0.415 0.882 NA
0.411 0.854 NA
0.442 0.871 NA
0.42 0.868 NA
0.442 0.866 NA
0.431 0.877 NA
0.427 0.865 NA
0.426 0.882 NA
0.43 0.846 NA
0.445 0.88 NA
0.423 0.845 NA
0.43 0.878 NA
0.429 0.848 NA
0.46 0.852 NA
0.431 0.861 NA
0.454 0.847 NA
0.418 0.837 NA
0.436 0.855 NA
0.451 0.819 NA
0.423 0.873 NA
0.463 0.863 NA
0.456 0.85 NA
0.442 0.863 NA
0.449 0.877 NA
0.449 0.878 NA
0.468 0.878 NA
0.452 0.864 NA
0.451 0.85 NA
0.462 0.844 NA
0.464 0.86 NA
0.459 0.864 NA
0.449 0.88 NA
0.451 0.858 NA
0.462 0.861 NA
0.459 0.901 NA
0.469 0.852 NA
0.442 0.878 NA
0.468 0.872 NA
0.452 0.866 NA
0.437 0.861 NA
0.454 0.857 NA
0.428 0.861 NA
0.468 0.827 NA
0.452 0.83 NA
0.473 0.88 NA
0.472 0.89 NA
0.457 0.87 NA
0.435 0.892 NA
0.441 0.881 NA
0.459 0.891 NA
0.448 0.863 NA
0.461 0.86 NA
0.442 0.853 NA
0.479 0.875 NA
0.456 0.839 NA
0.453 0.89 NA
0.457 0.851 NA
0.456 0.854 NA
0.481 0.842 NA
0.474 0.847 NA
0.452 0.86 NA
0.474 0.83 NA
0.481 0.866 NA
0.448 0.838 NA
0.463 0.883 NA
0.476 0.862 NA
0.48 0.89 NA
0.459 0.859 NA
0.484 0.875 NA
0.453 0.882 NA
0.507 0.848 NA
0.461 0.872 NA
0.467 0.842 NA
0.467 0.843 NA
0.492 0.844 NA
0.457 0.855 NA
0.492 0.824 NA
0.485 0.838 NA
0.452 0.862 NA
0.477 0.821 NA
0.475 0.832 NA
0.483 0.829 NA
0.484 0.831 NA
0.482 0.816 NA
0.516 0.868 NA
0.494 0.853 NA
0.499 0.825 NA
0.493 0.823 NA
0.494 0.852 NA
0.524 0.856 NA
0.485 0.85 NA
0.477 0.846 NA
0.471 0.811 NA
0.49 0.839 NA
0.511 0.845 NA
0.52 0.827 NA
0.498 0.828 NA
0.489 0.815 NA
0.486 0.867 NA
0.491 0.844 NA
0.489 0.831 NA
0.507 0.852 NA
0.495 0.84 NA
0.53 0.86 NA
0.484 0.855 NA
0.491 0.853 NA
0.505 0.86 NA
0.514 0.844 NA
0.505 0.815 NA
0.496 0.853 NA
0.504 0.81 NA
0.479 0.861 NA
0.53 0.85 NA
0.531 0.838 NA
0.511 0.831 NA
0.504 0.846 NA
0.505 0.844 NA
0.492 0.838 NA
0.499 0.867 NA
0.515 0.868 NA
0.488 0.843 NA
0.491 0.816 NA
0.5 0.855 NA
0.507 0.852 NA
0.515 0.836 NA
0.525 0.853 NA
0.511 0.839 NA
0.517 0.826 NA
0.532 0.813 NA
0.534 0.824 NA
0.517 0.834 NA
0.52 0.814 NA
0.504 0.819 NA
0.518 0.818 NA
0.52 0.816 NA
0.526 0.84 NA
0.52 0.808 NA
0.512 0.83 NA
0.527 0.822 NA
0.508 0.792 NA
0.543 0.813 NA
0.516 0.799 NA
0.517 0.813 NA
0.518 0.807 NA
0.515 0.805 NA
0.544 0.801 NA
0.535 0.803 NA
0.541 0.829 NA
0.512 0.81 NA
0.488 0.786 NA
0.508 0.82 NA
0.528 0.828 NA
0.535 0.84 NA
0.533 0.827 NA
0.525 0.8 NA
0.518 0.803 NA
0.548 0.772 NA
0.541 0.794 NA
0.532 0.818 NA
0.541 0.775 NA
0.549 0.798 NA
0.528 0.81 NA
0.524 0.798 NA
0.553 0.794 NA
0.535 0.808 NA
0.542 0.79 NA
0.529 0.815 NA
0.536 0.804 NA
0.542 0.78 NA
0.552 0.763 NA
0.529 0.78 NA
0.532 0.781 NA
0.552 0.783 NA
0.551 0.758 NA
0.543 0.793 NA
0.558 0.777 NA
0.574 0.794 NA
0.563 0.749 NA
0.556 0.772 NA
0.54 0.789 NA
0.558 0.794 NA
0.571 0.777 NA
0.549 0.77 NA
0.552 0.787 NA
0.552 0.768 NA
0.529 0.76 NA
0.518 0.783 NA
0.551 0.79 NA
0.533 0.768 NA
0.533 0.781 NA
0.543 0.785 NA
0.542 0.788 NA
0.539 0.781 NA
0.568 0.807 NA
0.552 0.793 NA
0.529 0.76 NA
0.538 0.781 NA
0.577 0.795 NA
0.54 0.806 NA
0.561 0.792 NA
0.53 0.774 NA
0.537 0.79 NA
0.565 0.775 NA
0.548 0.803 NA
0.526 0.749 NA
0.548 0.776 NA
0.553 0.776 NA
0.552 0.763 NA
0.544 0.768 NA
0.541 0.766 NA
0.567 0.761 NA
0.558 0.759 NA
0.541 0.725 NA
0.577 0.771 NA
0.55 0.757 NA
0.569 0.746 NA
0.578 0.743 NA
0.544 0.765 NA
0.57 0.761 NA
0.582 0.787 NA
0.578 0.781 NA
0.572 0.789 NA
0.569 0.767 NA
0.571 0.796 NA
0.552 0.769 NA
0.562 0.747 NA
0.567 0.763 NA
0.579 0.727 NA
0.56 0.767 NA
0.582 0.731 NA
0.547 0.775 NA
0.576 0.769 NA
0.581 0.752 NA
0.576 0.753 NA
0.558 0.784 NA
0.579 0.739 NA
0.568 0.734 NA
0.549 0.756 NA
0.568 0.741 NA
0.567 0.731 NA
0.551 0.774 NA
0.568 0.753 NA
0.583 0.766 NA
0.577 0.714 NA
0.563 0.753 NA
0.562 0.765 NA
0.553 0.755 NA
0.575 0.749 NA
0.579 0.762 NA
0.593 0.767 NA
0.564 0.744 NA
0.554 0.741 NA
0.565 0.731 NA
0.576 0.767 NA
0.581 0.767 NA
0.567 0.735 NA
0.561 0.743 NA
0.55 0.73 NA
0.567 0.754 NA
0.558 0.724 NA
0.577 0.757 NA
0.575 0.733 NA
0.581 0.752 NA
0.552 0.762 NA
0.563 0.734 NA
0.581 0.731 NA
0.549 0.768 NA
0.558 0.697 NA
0.562 0.739 NA
0.564 0.713 NA
0.569 0.722 NA
0.58 0.735 NA
0.572 0.74 NA
0.58 0.739 NA
0.571 0.741 NA
0.56 0.759 NA
0.574 0.709 NA
0.594 0.686 NA
0.577 0.742 NA
0.586 0.742 NA
0.591 0.732 NA
0.573 0.734 NA
0.565 0.725 NA
0.582 0.717 NA
0.586 0.712 NA
0.577 0.732 NA
0.602 0.74 NA
0.574 0.743 NA
0.575 0.706 NA
0.577 0.73 NA
0.587 0.74 NA
0.592 0.719 NA
0.579 0.699 NA
0.573 0.751 NA
0.597 0.714 NA
0.597 0.718 NA
0.588 0.733 NA
0.598 0.718 NA
0.598 0.724 NA
0.603 0.723 NA
0.612 0.694 NA
0.584 0.713 NA
0.588 0.754 NA
0.585 0.716 NA
0.578 0.757 NA
0.61 0.735 NA
0.616 0.703 NA
0.591 0.714 NA
0.574 0.701 NA
0.581 0.703 NA
0.596 0.689 NA
0.597 0.692 NA
0.577 0.716 NA
0.581 0.695 NA
0.588 0.694 NA
0.588 0.722 NA
0.577 0.712 NA
0.604 0.729 NA
0.607 0.699 NA
0.588 0.694 NA
0.596 0.702 NA
0.607 0.723 NA
0.592 0.696 NA
0.587 0.659 NA
0.589 0.69 NA
0.592 0.679 NA
0.598 0.702 NA
0.591 0.667 NA
0.606 0.715 NA
0.593 0.699 NA
0.59 0.704 NA
0.597 0.683 NA
0.607 0.678 NA
0.609 0.66 NA
0.6 0.715 NA
0.595 0.705 NA
0.611 0.677 NA
0.58 0.681 NA
0.59 0.663 NA
0.602 0.688 NA
0.6 0.667 NA
0.609 0.699 NA
0.602 0.71 NA
0.565 0.691 NA
0.612 0.684 NA
0.588 0.684 NA
0.594 0.668 NA
0.586 0.671 NA
0.588 0.681 NA
0.613 0.681 NA
0.597 0.676 NA
0.603 0.691 NA
