,true_label,24,25,26,27,28
73,A,21,0,1,24,23
74,Q,13,7,14,20,15
75,Z,12,18,4,9,21
76,H,3,5,6,2,12
77,R,12,21,17,21,6
78,I,13,3,14,25,14
79,R,1,10,20,11,4
80,U,8,6,0,8,26
81,U,6,15,7,10,8
82,C,14,16,8,22,1
83,O,5,1,18,23,2
84,E,0,18,25,9,3
85,D,17,23,21,4,22
86,U,4,24,10,22,9
87,R,1,10,20,11,4
88,E,9,8,16,26,0
89,G,4,1,25,22,9
90,B,17,23,21,4,22
91,A,21,17,1,0,19
92,Y,19,12,22,3,16
93,Y,3,5,6,5,25
94,O,5,1,18,23,2
95,G,5,1,25,23,2
96,A,21,17,1,0,19
97,C,19,4,10,12,24
98,H,3,5,6,2,12
99,R,12,21,4,21,21
100,J,3,3,6,16,12
101,M,6,11,7,10,8
102,V,2,9,24,14,5
103,R,1,10,20,11,4
104,T,2,9,24,14,5
105,J,12,5,4,2,21
106,S,1,10,20,11,4
107,G,16,21,17,21,6
108,D,1,10,20,11,4
109,G,9,8,16,26,0
110,Z,12,23,4,4,21
111,D,5,1,18,23,2
112,A,21,0,1,24,23
113,T,19,12,22,3,16
114,G,9,8,16,26,0
115,L,1,0,20,24,23
116,W,16,21,17,21,6
117,I,9,8,20,26,0
118,M,16,21,17,21,6
119,Q,17,23,21,4,22
120,S,9,8,16,26,0
121,Q,0,18,13,9,3
122,V,2,9,24,14,5
123,R,5,1,18,23,2
124,Z,12,5,4,2,21
125,P,5,1,18,23,25
126,W,8,6,0,15,26
127,I,22,2,3,25,18
128,F,10,4,5,6,11
129,F,12,5,4,2,21
130,J,22,2,3,25,18
131,V,10,9,5,6,11
132,M,12,21,17,21,21
133,M,8,6,0,8,26
134,O,15,3,18,5,13
135,J,1,10,20,11,4
136,E,14,16,8,1,1
137,M,21,17,1,0,19
138,K,4,6,25,8,9
139,P,20,20,19,19,20
140,A,21,17,1,0,19
141,G,15,3,16,5,13
142,V,23,19,2,16,10
143,X,9,8,16,26,0
144,A,13,0,14,24,23
145,Z,17,18,13,4,22
146,S,3,5,6,2,25
147,M,16,21,17,21,6
148,Z,7,13,15,18,27
149,M,6,11,7,10,8
150,W,8,6,0,8,26
151,T,4,24,25,6,9
152,E,14,16,8,1,1
153,I,13,7,14,20,14
154,H,4,24,10,22,9
155,U,5,1,18,22,2
156,X,15,3,12,5,13
157,V,19,12,22,12,16
158,W,23,19,2,15,10
159,D,1,10,20,11,4
160,R,9,8,16,26,0
161,S,1,10,20,11,4
162,F,4,2,25,4,18
163,N,3,5,6,2,12
164,Z,17,23,21,4,22
165,Z,7,13,15,18,27
166,I,22,3,3,25,14
167,J,0,18,19,9,3
168,Q,9,3,16,5,13
169,F,20,20,19,6,20
170,J,18,14,9,17,7
171,R,3,5,6,2,12
172,S,4,2,25,22,18
173,H,15,3,12,5,13
174,B,3,5,6,16,12
175,Q,17,23,21,4,22
176,A,21,0,1,24,23
177,Y,2,9,24,14,5
178,P,15,3,12,13,13
179,T,2,9,24,14,5
180,C,23,19,2,16,10
181,H,6,11,7,10,8
182,G,15,3,10,5,13
183,N,5,19,18,15,10
184,Z,7,13,15,18,27
185,P,12,21,17,21,6
186,Z,1,10,20,11,4
187,E,9,8,16,26,0
188,R,1,10,20,11,4
189,E,1,10,10,11,4
190,E,1,10,20,11,4
191,Q,12,21,4,21,21
192,T,0,18,25,9,3
193,F,4,18,25,9,3
194,D,5,1,18,23,2
195,J,13,14,14,24,23
196,Y,3,5,6,2,12
197,S,4,2,25,22,9
198,O,5,1,18,23,2
199,O,16,21,17,21,6
200,Z,7,13,15,18,27
201,D,0,18,13,9,3
202,I,1,10,20,11,4
203,N,17,23,21,4,22
204,H,6,11,7,10,8
205,U,4,24,25,22,9
206,C,23,19,2,16,10
207,U,16,21,17,8,6
208,O,8,18,0,8,26
209,E,3,5,6,2,25
210,M,17,19,2,16,22
211,Y,2,9,24,14,5
212,C,14,16,8,1,1
213,Y,20,20,19,19,12
214,Z,1,10,20,11,4
215,J,1,10,20,11,4
216,B,1,10,20,11,4
217,C,9,8,16,26,0
218,S,7,13,15,18,27
219,F,10,4,23,12,24
220,O,5,1,18,23,2
221,T,4,20,25,6,9
222,K,13,7,14,20,15
223,E,3,5,6,2,25
224,F,0,18,13,9,3
225,V,2,9,24,14,5
226,Q,17,17,21,0,22
227,Y,10,24,5,6,11
228,Y,19,4,23,12,24
229,O,15,3,12,13,13
230,N,13,7,14,20,15
231,A,21,17,1,0,19
232,F,1,4,23,12,24
233,R,5,1,18,13,2
234,T,2,9,24,14,5
235,M,16,19,17,16,6
236,D,9,8,16,26,0
237,P,20,20,19,19,20
238,Z,7,13,15,18,27
239,Y,4,20,19,22,12
240,T,10,4,23,12,24
241,B,0,18,13,9,3
242,A,21,0,1,24,23
243,A,3,5,6,2,12
244,W,8,6,0,15,26
245,P,3,5,6,2,25
246,M,23,19,2,16,10
247,U,5,5,18,2,12
248,E,9,8,16,26,0
249,N,6,11,7,10,8
250,V,2,9,24,14,5
251,P,20,20,19,6,20
252,P,0,18,13,9,3
253,V,8,6,0,8,26
254,G,15,3,12,5,13
255,J,18,14,9,17,7
256,A,21,0,1,24,23
257,M,6,11,7,10,8
258,T,19,4,23,12,24
259,Q,15,3,12,5,13
260,F,17,23,19,4,18
261,I,22,2,3,25,14
262,U,8,6,0,8,26
263,J,18,14,9,17,7
264,S,1,10,10,11,4
265,L,5,1,18,23,2
266,J,17,23,21,4,22
267,S,12,21,4,2,21
268,V,2,9,24,14,5
269,C,14,16,8,1,1
270,O,5,1,18,23,2
271,Q,3,5,6,2,25
272,Z,4,18,25,8,9
273,E,14,16,8,1,1
274,C,9,8,16,26,0
275,A,16,21,17,21,6
276,U,2,3,24,5,5
277,N,17,23,21,4,22
278,M,16,23,21,4,22
279,S,3,5,6,2,12
280,N,23,19,2,16,10
281,E,9,8,16,26,0
282,P,20,20,19,19,20
283,Y,19,12,22,3,16
284,G,14,16,8,1,1
285,Z,0,18,13,4,3
286,I,1,10,20,11,4
287,R,9,8,16,26,0
288,Z,7,13,15,18,27
289,T,19,12,22,3,16
290,Z,17,2,21,4,22
291,G,14,16,8,1,1
292,F,23,19,2,16,10
293,K,1,10,10,11,4
294,G,9,8,16,5,0
295,G,7,13,8,13,27
296,W,8,6,0,15,26
297,Z,9,8,16,26,0
298,K,4,24,25,22,9
299,A,21,0,1,24,23
300,S,3,5,6,2,12
301,W,8,6,0,15,26
302,L,11,22,11,7,17
303,B,3,5,6,16,12
304,H,12,1,4,23,21
305,H,4,2,10,22,18
306,I,22,2,3,25,18
307,H,0,18,13,9,3
308,C,14,16,8,1,1
309,C,9,8,16,26,0
310,T,3,5,6,2,12
311,M,23,7,2,20,15
312,R,13,7,14,20,15
313,K,4,19,25,16,9
314,W,23,12,22,3,16
315,T,10,4,23,12,24
316,T,10,20,5,6,11
317,I,22,2,3,25,18
318,L,11,22,11,7,17
319,B,5,1,18,23,2
320,I,17,2,25,4,22
321,K,23,19,2,22,10
322,U,19,4,10,12,24
323,V,10,4,5,12,11
324,Q,13,7,14,20,15
325,G,15,3,12,13,13
326,O,15,3,12,13,13
327,Z,1,10,20,11,4
328,G,15,16,12,13,13
329,Y,2,9,24,14,5
330,A,12,5,4,2,21
331,M,23,10,2,11,4
332,R,0,18,13,9,3
333,B,5,13,18,13,2
334,W,23,19,2,15,10
335,E,14,16,8,1,1
336,V,10,4,5,12,11
337,F,19,4,23,12,24
338,O,15,3,12,5,13
339,O,21,0,1,16,19
340,W,16,21,17,21,6
341,H,1,10,20,11,4
342,G,9,8,16,26,0
343,L,11,22,11,7,17
344,P,12,1,4,23,21
345,S,9,8,16,26,0
346,A,3,5,6,2,12
347,D,5,1,18,23,2
348,D,20,20,19,19,20
349,J,1,10,20,11,18
350,L,3,5,6,2,25
351,M,8,6,0,8,26
352,W,8,6,0,15,26
353,W,23,19,2,15,10
354,T,12,21,4,21,21
355,Y,2,9,24,14,5
356,W,13,7,14,20,15
357,D,17,23,21,4,22
358,E,17,23,21,4,22
359,K,9,8,16,26,0
360,O,15,3,12,5,13
361,K,16,21,17,21,6
362,Q,3,5,6,2,12
363,G,9,8,16,26,0
364,Q,17,23,21,9,22
365,Y,10,24,5,6,11
366,C,9,8,16,26,0
367,E,17,23,13,4,22
368,J,1,10,20,11,4
369,K,4,24,10,22,9
370,U,16,21,17,21,6
371,B,9,8,16,26,0
372,K,4,18,25,22,9
373,C,9,8,16,26,0
374,N,8,6,0,8,26
375,T,10,20,5,6,20
376,N,6,11,7,10,8
377,W,23,19,2,15,10
378,Q,17,17,21,0,22
379,B,0,18,13,9,3
380,T,19,12,22,3,16
381,F,1,10,23,11,4
382,T,0,18,13,9,3
383,A,21,17,1,0,19
384,N,8,19,0,16,10
385,S,7,13,15,18,27
386,L,22,2,3,25,19
387,B,17,23,21,4,22
388,T,4,24,25,6,9
389,D,1,10,20,11,4
390,Q,7,13,15,18,27
391,P,20,20,19,19,20
392,H,19,4,10,12,24
393,B,17,23,21,4,22
394,U,15,3,10,5,13
395,A,23,19,2,16,10
396,K,5,1,18,5,2
397,X,3,5,6,2,12
398,N,5,1,18,23,2
399,Y,12,21,4,21,21
400,Y,2,9,24,14,5
401,Y,10,24,5,6,11
402,A,21,17,1,0,19
403,H,6,11,7,10,8
404,N,4,24,25,22,9
405,H,6,11,7,10,8
406,I,13,7,14,20,14
407,D,17,23,21,4,22
408,X,9,8,16,26,0
409,W,8,6,0,15,26
410,V,2,9,24,14,5
411,O,5,1,18,23,2
412,S,5,1,18,13,2
413,T,2,9,24,14,5
414,K,9,8,16,26,0
415,N,6,11,7,10,8
416,Z,4,24,25,22,9
417,F,20,2,19,4,18
418,F,3,5,6,2,12
419,W,8,6,0,15,26
420,S,9,8,16,26,0
421,R,0,18,13,9,3
422,V,19,4,22,12,16
423,K,5,1,18,5,2
424,L,22,2,3,25,19
425,V,19,12,22,3,16
426,J,12,5,4,2,21
427,F,16,21,17,21,6
428,I,1,10,20,11,4
429,E,9,8,16,26,0
430,P,20,20,23,19,20
431,R,15,3,12,5,13
432,V,8,20,19,19,26
433,H,6,11,7,10,8
434,E,14,16,8,1,1
435,X,4,24,10,22,9
436,O,5,1,18,23,2
437,N,13,7,14,20,15
438,C,14,16,8,22,1
439,X,5,1,18,23,2
440,D,15,3,12,5,13
441,T,5,1,4,23,21
442,O,0,18,13,9,3
443,F,10,20,5,6,11
444,I,14,16,8,1,1
445,Z,1,10,20,11,4
446,B,15,3,12,13,13
447,S,1,10,20,11,4
448,M,23,19,2,16,10
449,D,0,18,13,9,3
450,L,11,22,11,7,17
451,M,23,19,2,16,10
452,C,14,16,8,1,1
453,P,3,19,6,16,12
454,E,4,24,25,22,9
455,Q,15,3,12,5,13
456,G,9,8,16,26,0
457,Q,15,7,12,5,15
458,E,9,8,16,26,0
459,U,4,24,25,8,9
460,A,21,0,1,24,23
461,G,5,1,18,23,2
462,N,15,3,12,13,13
463,J,1,10,20,11,4
464,V,2,9,24,14,5
465,N,6,11,7,10,8
466,K,12,21,4,21,21
467,S,15,3,12,13,13
468,F,1,10,20,11,4
469,P,19,4,23,12,24
470,A,21,0,1,24,23
471,F,1,4,23,12,24
472,J,12,5,4,2,21
473,J,3,5,6,2,25
474,W,8,6,0,8,26
475,D,3,20,19,2,12
476,O,17,23,21,5,22
477,D,0,23,13,9,3
478,R,9,8,16,26,0
479,Y,19,12,22,3,16
480,Y,19,12,22,3,16
481,P,20,20,19,19,20
482,U,19,12,22,3,16
483,Q,12,5,4,2,21
484,V,19,12,22,3,16
485,Z,7,13,15,18,27
486,U,10,24,10,22,9
487,K,1,10,20,16,4
488,G,15,3,12,5,13
489,Z,7,13,15,18,27
490,D,17,23,21,4,22
491,M,0,17,13,0,19
492,W,8,6,0,15,26
493,M,23,19,2,16,10
494,X,7,13,15,18,27
495,P,20,20,19,19,20
496,E,15,3,12,5,13
497,G,12,5,4,2,21
498,L,3,5,4,2,25
499,F,19,4,23,12,24
500,D,13,7,14,20,15
501,R,17,1,21,13,2
502,S,9,8,16,26,0
503,F,10,4,5,6,11
504,T,2,9,24,14,5
505,A,21,0,1,24,23
506,N,23,19,2,16,10
507,H,6,11,7,10,8
508,E,9,8,16,26,0
509,M,23,19,2,16,10
510,G,3,5,6,2,25
511,D,1,10,20,11,4
512,A,12,21,4,21,21
513,Y,19,12,22,3,16
514,N,5,1,18,23,2
515,U,16,21,17,21,6
516,P,10,4,23,12,24
517,T,2,9,24,14,5
518,X,3,5,4,2,25
519,X,5,1,18,23,2
520,F,20,20,19,4,18
521,V,2,9,24,14,5
522,Q,5,1,18,23,2
523,U,16,21,17,21,6
524,C,19,4,10,12,24
525,F,20,20,19,19,20
526,X,1,10,20,11,4
527,P,23,19,2,15,10
528,W,23,19,2,15,10
529,O,13,7,14,20,15
530,B,1,10,20,11,4
531,I,22,3,3,25,14
532,C,23,19,2,16,25
533,M,8,6,0,8,26
534,T,12,1,4,23,21
535,Y,12,21,4,21,21
536,M,16,19,17,16,6
537,T,10,20,5,6,11
538,X,3,5,6,2,25
539,A,21,17,1,0,19
540,T,4,13,25,18,9
541,G,14,3,12,5,1
542,B,17,23,21,4,22
543,C,14,16,8,1,1
544,R,17,23,13,9,22
545,I,9,8,20,26,0
546,C,15,3,12,5,13
547,U,15,3,12,13,13
548,N,6,11,7,10,8
549,X,1,10,10,11,4
550,U,0,18,13,8,3
551,U,15,3,10,5,13
552,F,10,20,5,6,11
553,C,0,18,18,9,3
554,C,9,8,16,26,0
555,Y,19,12,22,3,16
556,O,15,3,12,5,13
557,U,9,8,10,26,0
558,O,15,3,12,5,13
559,I,1,10,20,11,4
560,T,5,1,18,23,2
561,M,23,7,2,20,15
562,V,19,12,22,3,16
563,N,6,11,7,10,8
564,P,20,20,19,19,20
565,O,15,3,18,13,2
566,M,16,21,17,21,6
567,D,17,23,21,4,22
568,T,19,12,22,3,16
569,O,5,1,18,23,2
570,Y,2,9,24,14,5
571,B,5,1,18,23,2
572,K,8,6,0,8,26
573,I,13,7,14,20,14
574,Q,3,5,6,2,25
575,A,21,0,1,24,19
576,Z,7,13,15,18,27
577,J,18,14,9,17,7
578,K,17,23,21,4,22
579,Z,7,13,15,18,27
580,B,17,23,21,4,22
581,J,0,18,13,9,3
582,Z,9,8,16,26,0
583,X,4,24,25,22,9
584,J,18,14,9,17,7
585,K,4,24,25,22,9
586,I,13,7,14,20,15
587,Y,19,4,23,12,24
588,O,5,1,18,23,2
589,T,4,20,25,6,9
590,R,1,10,20,11,4
591,A,0,17,13,0,19
592,T,10,20,5,6,11
593,J,18,14,9,17,7
594,O,15,3,12,5,13
595,F,10,4,5,6,11
596,A,21,17,1,0,19
597,B,17,23,21,4,22
598,Z,9,8,16,26,0
599,S,5,1,18,23,2
600,W,8,6,0,15,26
601,L,22,0,20,25,4
602,T,2,12,22,3,16
603,M,16,21,17,21,6
604,P,12,1,4,23,21
605,I,22,2,3,25,18
606,J,18,14,9,17,7
607,C,14,16,8,1,1
608,E,17,23,21,4,22
609,V,19,12,22,3,16
610,A,23,19,2,16,10
611,E,14,16,8,1,1
612,K,12,21,4,21,21
613,V,8,6,0,8,26
614,X,4,24,25,8,9
615,Q,12,5,4,2,21
616,R,9,8,16,26,0
617,P,20,20,19,19,20
618,Q,13,7,14,20,15
619,S,1,10,20,11,4
620,M,0,17,13,0,3
621,Z,9,8,16,26,0
622,S,9,8,16,26,0
623,F,1,4,23,12,24
624,L,11,22,11,7,17
625,A,21,17,1,0,19
626,Y,2,9,24,14,5
627,D,0,18,13,9,3
628,H,6,11,7,10,8
629,H,15,3,12,26,13
630,M,13,7,14,20,15
631,S,17,23,21,4,22
632,T,10,24,5,6,11
633,I,13,7,14,25,14
634,A,21,17,1,0,19
635,S,9,8,16,26,0
636,R,15,3,12,5,13
637,Q,12,5,4,23,25
638,L,22,2,3,25,18
639,A,0,17,13,0,3
640,Y,10,24,5,6,11
641,Y,2,9,24,14,5
642,B,9,8,16,26,0
643,R,9,8,16,26,0
644,L,22,2,3,25,19
645,W,23,19,2,15,10
646,N,23,10,2,11,10
647,V,2,9,24,14,5
648,A,21,17,1,0,19
649,O,13,7,14,20,15
650,W,8,6,0,15,26
651,O,15,3,12,13,13
652,K,15,3,12,5,13
653,O,15,3,12,13,13
654,L,22,2,3,0,19
655,H,1,10,20,11,4
656,L,22,0,3,25,4
657,O,5,1,18,23,2
658,E,1,10,10,11,4
659,Y,2,12,24,14,5
660,M,23,19,2,16,10
661,D,15,3,12,13,13
662,U,4,24,10,22,9
663,B,1,10,20,11,4
664,D,5,1,18,23,2
665,W,23,12,22,3,16
666,Z,17,2,21,4,22
667,S,1,10,21,11,4
668,Z,17,2,21,4,18
669,K,8,6,0,8,26
670,P,1,10,23,11,24
671,S,4,24,10,22,18
672,Y,2,9,24,14,5
673,L,11,22,11,7,17
674,Y,19,12,22,3,16
675,E,14,16,8,1,1
676,A,21,0,1,24,23
677,Q,0,18,13,9,3
678,Q,12,1,4,23,21
679,R,13,7,14,20,15
680,F,10,4,23,12,24
681,Q,13,7,14,5,15
682,F,19,4,23,12,24
683,G,5,1,18,23,2
684,B,17,23,21,4,22
685,W,23,12,2,3,10
686,F,10,4,5,6,11
687,Y,10,24,5,6,11
688,K,15,3,12,5,13
689,N,13,7,14,20,15
690,J,18,14,9,17,7
691,K,17,23,21,4,22
692,C,14,16,8,1,1
693,Z,7,13,15,18,27
694,C,4,24,25,22,9
695,F,10,24,5,6,11
696,N,6,11,7,10,8
697,N,23,10,2,11,10
698,R,13,7,14,20,15
699,Q,5,1,4,23,2
700,M,8,6,0,8,26
701,M,16,19,17,16,6
702,Y,4,24,25,22,9
703,U,6,15,7,10,8
704,X,9,8,16,26,0
705,Y,3,5,6,16,12
706,Y,19,4,23,12,24
707,T,2,9,24,14,5
708,I,1,10,20,11,4
709,R,17,23,21,4,22
710,F,10,24,5,6,11
711,X,4,18,25,4,3
712,M,23,19,2,16,10
713,L,11,22,11,7,17
714,B,12,21,4,21,21
715,C,14,16,8,1,1
716,R,0,18,13,9,3
717,F,19,4,23,12,24
718,Y,19,12,22,3,16
719,F,17,23,21,16,22
720,H,16,21,17,21,6
721,C,14,16,8,1,1
722,M,21,23,1,16,19
723,C,14,16,8,1,1
724,G,5,1,18,13,2
725,T,19,4,23,12,24
726,B,5,1,18,23,2
727,Y,19,12,22,3,16
728,Z,1,10,20,11,4
729,G,9,8,16,26,0
730,X,3,5,6,2,12
731,W,23,4,2,15,10
732,G,9,8,16,26,0
733,W,23,19,2,16,10
734,Y,10,4,23,12,24
735,Q,5,1,18,23,2
736,G,5,1,18,23,2
737,E,14,16,8,1,1
738,V,19,12,22,3,16
739,T,8,6,25,8,26
740,I,1,10,20,11,4
741,G,9,8,16,26,0
742,O,16,21,17,21,6
743,G,0,18,13,9,3
744,R,15,3,12,5,13
745,M,16,21,17,21,6
746,I,1,10,20,11,14
747,L,11,22,11,7,17
748,J,17,23,21,4,22
749,Q,0,18,13,9,3
750,W,8,6,0,15,26
751,U,6,15,7,10,8
752,T,10,20,5,6,11
753,E,12,5,4,2,21
754,V,2,9,24,14,5
755,I,9,8,20,26,0
756,U,10,24,10,22,11
757,D,12,21,4,21,21
758,F,19,4,23,12,24
759,O,0,18,13,9,3
760,E,14,16,8,1,1
761,Y,3,5,6,16,25
762,U,15,3,12,5,13
763,M,13,7,14,20,15
764,O,15,3,12,5,13
765,E,17,23,21,5,25
766,R,15,3,12,5,13
767,K,4,24,10,22,9
768,H,9,8,16,26,0
769,Q,13,7,14,20,15
770,S,9,8,16,26,0
771,P,20,20,19,19,20
772,L,17,2,21,4,18
773,E,17,23,21,4,22
774,S,4,24,25,22,18
775,F,20,20,19,19,20
776,A,21,0,1,24,23
777,G,12,21,4,21,21
778,L,0,18,13,9,3
779,L,0,18,13,9,3
780,U,4,24,10,22,9
781,E,14,16,8,1,1
782,A,3,5,6,2,12
783,U,2,3,10,14,5
784,N,1,10,2,11,4
785,A,21,0,1,24,23
786,Z,1,10,20,11,4
787,E,9,8,16,26,0
788,N,23,19,2,11,10
789,N,23,19,2,15,10
790,K,15,3,12,5,13
791,W,23,19,2,15,10
792,O,16,21,17,21,6
793,M,21,17,1,0,19
794,O,12,21,17,21,21
795,F,4,18,25,22,9
796,J,18,14,9,17,7
797,B,5,1,18,23,2
798,B,1,10,20,11,4
799,V,10,9,5,6,11
800,S,12,21,4,2,21
801,Z,7,13,15,18,27
802,L,3,5,6,2,12
803,B,12,21,4,21,21
804,O,15,3,12,5,13
805,V,19,12,22,3,16
806,E,14,16,8,1,1
807,Y,2,9,24,14,5
808,B,5,1,18,23,2
809,B,12,21,17,21,6
810,U,0,18,13,8,3
811,W,19,12,22,12,24
812,E,1,2,10,22,18
813,D,5,1,18,23,2
814,C,4,24,25,22,9
815,P,20,20,19,19,20
816,B,5,1,18,23,2
817,W,23,19,2,15,10
818,T,10,20,5,6,11
819,E,9,8,16,26,0
820,R,15,3,12,5,13
821,D,3,5,6,2,12
822,J,22,10,3,25,4
823,M,8,6,0,8,26
824,L,11,22,11,7,17
825,L,11,22,11,7,17
826,Z,7,13,15,18,27
827,Q,13,7,16,20,15
828,Q,15,3,12,13,13
829,A,21,17,1,0,19
830,Z,12,21,4,2,21
831,A,21,0,1,24,23
832,K,13,7,14,20,15
833,Q,12,5,4,2,21
834,T,5,1,18,23,2
835,R,12,21,17,21,21
836,C,12,5,4,2,25
837,X,3,5,4,2,21
838,M,16,21,17,21,6
839,H,13,7,14,20,15
840,F,12,21,4,21,21
841,H,12,5,4,2,21
842,N,23,19,2,16,10
843,E,9,8,16,26,0
844,E,17,23,21,4,22
845,L,0,18,13,9,3
846,R,9,8,16,26,0
847,D,0,18,13,9,3
848,R,0,18,13,9,3
849,B,5,1,18,23,2
850,L,11,22,11,7,17
851,Q,3,5,6,16,13
852,I,1,10,20,11,14
853,U,4,24,25,22,9
854,X,12,21,4,21,21
855,D,17,23,21,4,22
856,L,12,5,4,2,21
857,K,1,10,10,11,4
858,C,14,16,8,1,1
859,K,17,23,21,4,22
860,I,4,2,25,4,22
861,R,13,7,14,20,15
862,P,20,20,23,19,20
863,G,9,8,16,26,0
864,Q,5,1,18,13,2
865,T,2,9,24,14,5
866,M,23,7,14,20,15
867,Q,15,3,12,5,13
868,Q,15,3,12,5,25
869,G,9,8,16,26,0
870,M,21,17,1,0,19
871,P,5,1,18,23,2
872,J,22,2,3,25,18
873,K,12,21,4,21,21
874,P,20,20,19,19,20
875,F,20,20,19,4,18
876,L,17,2,21,4,18
877,J,20,20,19,19,20
878,A,21,0,1,24,23
879,V,12,21,4,21,21
880,D,17,23,21,4,22
881,J,20,20,19,19,20
882,C,4,24,25,22,9
883,Y,2,9,24,14,5
884,B,5,1,4,23,2
885,C,9,8,16,26,0
886,T,10,20,5,6,11
887,M,13,7,14,20,15
888,E,15,3,12,5,25
889,Q,12,21,4,23,21
890,C,12,18,4,9,21
891,V,2,9,24,14,5
892,U,6,15,7,10,8
893,A,21,0,1,24,23
894,U,19,4,10,12,24
895,R,5,1,18,23,2
896,Y,2,9,24,14,5
897,R,5,1,18,23,2
898,T,2,9,24,14,5
899,R,3,5,6,16,12
900,W,23,12,22,3,16
901,P,20,20,23,19,20
902,N,5,1,18,5,2
903,O,5,1,18,13,2
904,Z,7,13,15,18,27
905,P,20,20,19,19,20
906,P,5,1,18,19,2
907,H,17,18,21,4,22
908,H,17,23,21,4,22
909,X,9,8,16,26,0
910,H,0,18,13,9,3
911,K,0,23,13,21,22
912,Q,17,23,13,9,22
913,C,14,16,8,1,1
914,Y,19,12,22,3,16
915,V,19,12,22,3,16
916,M,6,11,7,10,8
917,M,23,19,2,16,10
918,A,21,0,1,24,23
919,V,2,9,24,14,5
920,T,12,5,4,2,21
921,H,3,5,6,16,25
922,O,5,1,18,23,2
923,E,12,5,4,2,21
924,N,6,11,7,10,8
925,U,16,21,17,21,6
926,E,17,23,21,4,22
927,W,16,21,17,21,6
928,R,17,23,21,4,22
929,B,12,21,4,2,21
930,W,23,19,2,15,10
931,L,11,22,11,7,17
932,Y,8,6,0,8,26
933,W,8,6,0,8,26
934,X,22,2,3,4,18
935,J,18,14,9,17,7
936,W,23,19,2,16,10
937,U,6,15,7,10,8
938,G,9,3,16,5,0
939,S,0,18,13,9,3
940,A,21,17,1,0,19
941,T,19,12,22,3,16
942,B,15,3,12,13,13
943,V,8,6,0,8,26
944,S,4,24,25,22,9
945,K,4,24,25,22,9
946,B,5,1,18,13,2
947,H,4,24,10,22,9
948,K,17,23,21,4,22
949,W,8,19,0,15,26
950,T,10,4,5,6,11
951,Y,10,24,5,6,11
952,R,5,1,18,23,2
953,Q,3,5,6,2,25
954,R,17,23,21,4,22
955,W,23,19,2,15,10
956,V,19,12,22,3,16
957,P,20,20,19,19,20
958,M,3,19,6,16,12
959,U,6,15,7,10,8
960,R,15,3,12,5,13
961,H,6,11,7,10,8
962,W,3,21,6,21,25
963,E,0,18,13,9,3
964,P,17,23,21,4,22
965,G,5,1,18,23,2
966,H,23,10,2,16,4
967,K,12,5,4,2,21
968,C,9,8,16,26,0
969,S,7,13,15,18,27
970,N,8,6,0,8,26
971,J,3,5,6,5,25
972,T,10,20,5,6,11
973,U,19,12,10,3,16
974,V,2,9,24,14,5
975,E,4,24,25,22,9
976,X,1,10,21,11,4
977,K,17,23,13,4,22
978,L,11,22,11,7,17
979,J,22,2,3,25,22
980,S,17,23,21,4,22
981,R,15,3,12,13,13
982,R,1,10,20,11,4
983,P,20,20,19,19,20
984,B,15,13,12,13,13
985,F,20,4,23,12,24
986,I,1,10,20,11,4
987,U,6,15,7,10,8
